Summary,Ratings,Date,JobTitle,Pros,Cons
Great experience overall!,5.0,"Dec 19, 2022",Recruiter,Amazing culture and people! The peculiar ways of working are unique but effective.,I can't think of any so far - been loving it here!
Great place to work,4.0,"Dec 19, 2022",Supply Chain Manager,They really help you to grow and develops new skills.,Sometimes there could be long hours.
Good work life balance,3.0,"Dec 19, 2022",Product Manager,"Good work life balance, lots of time with family. Company respects personal time",Career progression is very slow
"No experience, common sense, or business plan. Cash grab.",1.0,"Dec 19, 2022",Controls Technician,"They pay good. Everyone is faking it or making it up as they go with no plan. Very little pressure to preform well since noone has a clue. If you like liars and listening to BS you can get paid well. If your a politician, clown or car sales man this engineering team will promote you to management with no experience!","Snakes and cash grab people hiring snakes and cash grab people.. I have worked on many engineering teams good and bad. I always heard they were bad but wanted to see the innovation. Its nothing but liars and faking, finding reasons why something can't be done or how to blame someone else or get someone else to do it. The absolute opposite of a engineering problem solving team.. Training the managers who won't promote you or pay you what you deserve. In the future if I see someone with only engineering experience at Amazon on a resume I will laugh in their face."
"Average work conditions, supervisors didn't listen to much",2.0,"Dec 19, 2022",Packaging Operator,Extra income for the holiday seasons Good for a side gig but not for a year-round full-time job,"Sharing of ideas among coworkers to supervisory-level employees weren't received very well Work conditions were only average, not what you'd expect of one of the largest companies in the world Pay is on the lower side compared to other similar jobs and for a company of this stature"
3 months in,4.0,"Dec 19, 2022",Sales Leader,"Great culture, clear values and strong principles that the company actually lives by, high level of innovation. Good focus on long term as opposed to short term.","They are right when they talk about a ""particular culture"" it may not be for everyone, you need to trust the process and not fight it. Need to be prepared manage your own work load other wise you will get consumed."
Great mental work,4.0,"Dec 19, 2022",Warehouse Picker,Confidence Isolation Endurance Time Management,"Time being timed on bathroom breaks, and walk was not it"
Great Career Start,5.0,"Dec 19, 2022",Loss Prevention Specialist,A lot of good people and benefits,Work in the office but the management was very flexible
Great opportunity,3.0,"Dec 19, 2022",Area Manager,"Unlimited growth, great pay, and innovated.","Long hours, work life balance is non existent, horrible environment."
Amazon - Place to learn a lot,4.0,"Dec 19, 2022",Data Engineer II,Decent salary package Direct Customer Impact,No/Minimal Perks Poor 401 K matching Poor RSU vesting
"Friendly to self-starter environment, unfriendly if you need help",2.0,"Dec 19, 2022",Full-Cycle Recruiter,Health benefits Lots of information Never bored Room to move into new spaces Opportunities for additional learning Comfy work spaces Best networking position Able to create and enhance opportunities,"Scattered resources Unsuccessful if unable to prioritize projects On average, standard responsibilities of a role consistently performed does not warrant promotion or raises Start-up mentality for a 800,000+ company No bonuses Must have 4+ year commitment to gain full value of salary assets (Stocks) Undervalues management training Easy to be placed into a PIP if managers lack supporting the team High turnover and reorg of team within Recruiting space"
Area manager,3.0,"Dec 19, 2022",Area Manager,Good opportunity to move up within the company,Just like all the other review very poor work/life balance.
Amazing Amazon,5.0,"Dec 19, 2022",IT Associate II,There is growth and amazing benefits,None as of now since I am happy
